,Flow,Period,Region,value
143,Net,01/12/2012,Non-EU,61000
144,Net,01/03/2013,Non-EU,60000
145,Net,01/06/2013,Non-EU,56000
146,Net,01/09/2013,Non-EU,64000
147,Net,01/12/2013,Non-EU,63000
148,Net,01/03/2014,Non-EU,67000
149,Net,01/06/2014,Non-EU,65000
150,Net,01/09/2014,Non-EU,73000
151,Net,01/12/2014,Non-EU,87000
152,Net,01/03/2015,Non-EU,94000
153,Net,01/06/2015,Non-EU,101000
154,Net,01/09/2015,Non-EU,103000
155,Net,01/12/2015,Non-EU,88000
156,Net,01/03/2016,Non-EU,80000
157,Net,01/06/2016,Non-EU,82000
158,Net,01/09/2016,Non-EU,83000
159,Net,01/12/2016,Non-EU,90000
160,Net,01/03/2017,Non-EU,97000
161,Net,01/06/2017,Non-EU,91000
162,Net,01/09/2017,Non-EU,98000
163,Net,01/12/2017,Non-EU,114000
164,Net,01/03/2018,Non-EU,122000
165,Net,01/06/2018,Non-EU,143000
166,Net,01/09/2018,Non-EU,155000
167,Net,01/12/2018,Non-EU,178000
168,Net,01/03/2019,Non-EU,190000
169,Net,01/06/2019,Non-EU,179000
170,Net,01/09/2019,Non-EU,171000
171,Net,01/12/2019,Non-EU,186000
172,Net,01/03/2020,Non-EU,166000
173,Net,01/06/2020,Non-EU,115000
174,Net,01/09/2020,Non-EU,60000
175,Net,01/12/2020,Non-EU,101000
176,Net,01/03/2021,Non-EU,150000
177,Net,01/06/2021,Non-EU,226000
178,Net,01/09/2021,Non-EU,413000
179,Net,01/12/2021,Non-EU,496000
180,Net,01/03/2022,Non-EU,603000
181,Net,01/06/2022,Non-EU,720000
182,Net,01/09/2022,Non-EU,848000
183,Net,01/12/2022,Non-EU,892000
184,Net,01/03/2023,Non-EU,862000
185,Net,01/06/2023,Non-EU,836000
186,Net,01/09/2023,Non-EU,842000
187,Net,01/12/2023,Non-EU,797000
